epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5698,2.27945,3.45784,1.89586,0.18192,0.07646,0.05948,0.03764,2.23725,4.738,1.91712,0.0002222,0.0002222,0.0002222
2,26.1895,1.83307,2.15007,1.51985,0.47671,0.15857,0.13117,0.07879,2.12587,5.20735,1.7743,0.000446491,0.000446491,0.000446491
3,35.6011,1.77219,1.93974,1.49229,0.23043,0.18365,0.12911,0.06262,2.21156,3.60223,1.9402,0.000661543,0.000661543,0.000661543
4,44.5578,1.81999,1.88831,1.49665,0.26219,0.19755,0.11616,0.06601,2.22476,3.41961,2.00637,0.000867355,0.000867355,0.000867355
5,52.399,1.69399,1.75833,1.45669,0.19741,0.1976,0.12707,0.0818,2.13124,3.09867,1.90761,0.00102301,0.00102301,0.00102301
6,61.2099,1.65135,1.69262,1.45587,0.3263,0.22371,0.17086,0.08888,2.12659,3.28417,1.84136,0.00100101,0.00100101,0.00100101
7,70.2424,1.75628,1.67558,1.46351,0.6369,0.16643,0.18746,0.11459,1.99513,3.14192,1.74191,0.000979013,0.000979013,0.000979013
8,78.3449,1.73708,1.68796,1.47001,0.52466,0.2316,0.20081,0.1271,2.00193,4.10493,1.69668,0.000957015,0.000957015,0.000957015
9,87.2926,1.66937,1.59236,1.43548,0.50451,0.23178,0.20791,0.12529,2.04922,3.19195,1.82375,0.000935018,0.000935018,0.000935018
10,96.3594,1.5278,1.493,1.37906,0.41684,0.21727,0.17723,0.10463,2.06636,3.51408,1.75184,0.00091302,0.00091302,0.00091302
11,104.547,1.62223,1.53667,1.41052,0.32908,0.21891,0.2127,0.13672,1.90522,2.86983,1.65184,0.000891022,0.000891022,0.000891022
12,113.598,1.59504,1.55086,1.39417,0.48859,0.2267,0.23097,0.13925,1.93824,2.29036,1.62362,0.000869024,0.000869024,0.000869024
13,122.683,1.50963,1.42456,1.36082,0.61158,0.1985,0.21769,0.13029,2.02265,2.13482,1.72196,0.000847026,0.000847026,0.000847026
14,130.803,1.54431,1.49197,1.36347,0.33887,0.2603,0.24042,0.15779,1.89485,2.16238,1.60219,0.000825029,0.000825029,0.000825029
15,139.641,1.55624,1.46151,1.37865,0.39907,0.28944,0.24832,0.14892,1.99653,2.1293,1.69112,0.000803031,0.000803031,0.000803031
16,148.684,1.62152,1.53132,1.39626,0.54305,0.22041,0.24133,0.14623,1.98933,2.26481,1.64109,0.000781033,0.000781033,0.000781033
17,156.623,1.52073,1.43925,1.3614,0.35591,0.22754,0.23233,0.14771,1.92683,2.19818,1.60685,0.000759035,0.000759035,0.000759035
18,165.447,1.56059,1.46826,1.37245,0.53055,0.22241,0.24047,0.15046,1.83767,2.28718,1.55765,0.000737037,0.000737037,0.000737037
19,174.272,1.49241,1.33714,1.33268,0.39684,0.21765,0.23105,0.1454,1.93086,2.07111,1.5939,0.00071504,0.00071504,0.00071504
20,182.49,1.5668,1.44131,1.35534,0.34994,0.26842,0.23513,0.14426,1.95604,2.01577,1.6266,0.000693042,0.000693042,0.000693042
21,191.298,1.49022,1.35423,1.31597,0.32669,0.24715,0.22662,0.14731,1.88064,1.94958,1.58166,0.000671044,0.000671044,0.000671044
22,199.81,1.45266,1.2883,1.3103,0.37086,0.26618,0.24391,0.15041,1.91671,1.9391,1.57858,0.000649046,0.000649046,0.000649046
23,207.865,1.42301,1.31296,1.315,0.458,0.23051,0.2399,0.15303,1.87092,2.01138,1.56164,0.000627048,0.000627048,0.000627048
24,216.509,1.5626,1.36896,1.33601,0.4005,0.25517,0.24234,0.15284,1.8915,2.07752,1.57107,0.000605051,0.000605051,0.000605051
25,224.769,1.43587,1.30185,1.29701,0.43949,0.22135,0.23182,0.14353,1.88097,2.0513,1.55493,0.000583053,0.000583053,0.000583053
26,233.143,1.38533,1.25119,1.29254,0.48473,0.25613,0.26391,0.16885,1.85387,1.80818,1.51627,0.000561055,0.000561055,0.000561055
27,241.895,1.44318,1.25002,1.29692,0.4574,0.25463,0.26594,0.16045,1.91558,1.96427,1.54994,0.000539057,0.000539057,0.000539057
28,249.985,1.42122,1.27533,1.28807,0.45533,0.26698,0.26775,0.16601,1.86796,1.81876,1.53998,0.000517059,0.000517059,0.000517059
29,258.604,1.42894,1.23326,1.27051,0.40206,0.26182,0.24962,0.15479,1.84929,1.869,1.5563,0.000495062,0.000495062,0.000495062
30,267.51,1.45213,1.2761,1.2755,0.41561,0.26415,0.25552,0.14913,1.93911,1.88287,1.613,0.000473064,0.000473064,0.000473064
31,275.437,1.38459,1.2183,1.26649,0.43196,0.28192,0.27114,0.16626,1.8652,1.91786,1.57396,0.000451066,0.000451066,0.000451066
32,284.129,1.36265,1.20796,1.25618,0.40032,0.27808,0.26632,0.1603,1.89039,1.82052,1.61066,0.000429068,0.000429068,0.000429068
33,293.047,1.38482,1.18131,1.24027,0.54473,0.24962,0.28145,0.17052,1.87841,1.89749,1.56938,0.00040707,0.00040707,0.00040707
34,301.033,1.35851,1.18259,1.25469,0.4108,0.27547,0.27042,0.17043,1.84056,1.84467,1.55673,0.000385073,0.000385073,0.000385073
35,310.025,1.41821,1.2496,1.26528,0.45943,0.26189,0.26274,0.1676,1.83944,1.8771,1.55477,0.000363075,0.000363075,0.000363075
36,318.911,1.30868,1.15614,1.21342,0.45662,0.28149,0.28581,0.16788,1.84741,1.72329,1.56763,0.000341077,0.000341077,0.000341077
37,326.751,1.33555,1.11259,1.21748,0.38848,0.31183,0.27913,0.17059,1.84765,1.74665,1.54055,0.000319079,0.000319079,0.000319079
38,335.458,1.40054,1.19645,1.24737,0.41726,0.30291,0.28762,0.17775,1.84148,1.66599,1.55376,0.000297081,0.000297081,0.000297081
39,344.465,1.35842,1.16327,1.22696,0.42802,0.29048,0.27538,0.16637,1.86836,1.81714,1.58171,0.000275084,0.000275084,0.000275084
40,352.545,1.31027,1.08404,1.22923,0.42147,0.30261,0.282,0.17367,1.84918,1.79722,1.53399,0.000253086,0.000253086,0.000253086
41,363.045,1.45754,1.2973,1.28967,0.47795,0.27966,0.28256,0.17048,1.89545,1.76986,1.59069,0.000231088,0.000231088,0.000231088
42,371.773,1.43605,1.26041,1.26272,0.48083,0.28456,0.28146,0.17445,1.87465,1.79963,1.58167,0.00020909,0.00020909,0.00020909
43,379.476,1.43167,1.20269,1.27524,0.39047,0.31567,0.28475,0.17514,1.8059,1.81191,1.51916,0.000187092,0.000187092,0.000187092
44,387.838,1.40263,1.22934,1.25251,0.38122,0.29433,0.2729,0.1703,1.77445,1.7165,1.51381,0.000165095,0.000165095,0.000165095
45,396.427,1.4455,1.20156,1.2627,0.40036,0.31175,0.28698,0.17528,1.82527,1.75981,1.53959,0.000143097,0.000143097,0.000143097
46,404.105,1.3456,1.13765,1.22361,0.4308,0.28532,0.2866,0.17823,1.81381,1.77557,1.54914,0.000121099,0.000121099,0.000121099
47,412.595,1.38,1.12721,1.23736,0.43508,0.29575,0.28633,0.17854,1.8078,1.76383,1.53671,9.91012e-05,9.91012e-05,9.91012e-05
48,420.916,1.3565,1.12375,1.2216,0.49802,0.26727,0.28229,0.17709,1.79924,1.76169,1.52455,7.71034e-05,7.71034e-05,7.71034e-05
49,428.973,1.41783,1.20367,1.25393,0.43333,0.28481,0.28042,0.17541,1.79042,1.77869,1.51763,5.51056e-05,5.51056e-05,5.51056e-05
50,437.385,1.35813,1.12843,1.21319,0.46418,0.27015,0.27467,0.17385,1.79011,1.7764,1.51633,3.31078e-05,3.31078e-05,3.31078e-05
